filename,theme,period
FO-00-00015,geboorte,00s
FO-10-00080,geboorte,10s
FO-20-00033,geboorte,20s
FO-30-00771,geboorte,30s
FO-40-00308,geboorte,40s
FO-50-00144,geboorte,50s
FO-60-00083,geboorte,60s
DIA-70-00107,geboorte,70s
FO-80-00008,geboorte,80s
FO-90-00076,geboorte,90s
FO-10-00074,huwelijk,10s
FO-20-00083,huwelijk,20s
FO-30-00080,huwelijk,30s
FO-40-00196,huwelijk,40s
FO-50-00009,huwelijk,50s
FO-60-00050,huwelijk,60s
FO-70-00002,huwelijk,70s
DIA-80-00358,huwelijk,80s
FO-90-00122,huwelijk,90s
2003-036-018,huwelijk,onbekend
FO-40-00276,sint,40s
FO-40-00728,sint,40s
FO-50-00002,sint,50s
FO-50-00151,sint,50s
FO-50-00167,sint,50s
FO-50-00281,sint,50s
FO-50-00360,sint,50s
FO-50-00398,sint,50s
FO-50-00400,sint,50s
FO-70-00249_a3,sint,70s
FO-00-00037,speelgoed,00s
FO-10-00041,speelgoed,10s
FO-20-00064,speelgoed,20s
FO-30-00013,speelgoed,30s
FO-40-00009,speelgoed,40s
FO-50-00024,speelgoed,50s
FO-60-00179,speelgoed,60s
FO-70-00006,speelgoed,70s
DIA-80-00001,speelgoed,80s
FO-90-00005,speelgoed,90s
FO-20-00080,vakantie,20s
FO-30-00130_a3,vakantie,30s
FO-30-00304_a3,vakantie,30s
FO-50-00073,vakantie,50s
DIA-60-00055,vakantie,60s
FO-70-00041,vakantie,70s
DIA-80-00048,vakantie,80s
FO-90-00096,vakantie,90s
DIA-0001-0005,vakantie,onbekend
DIA-0006-0131,vakantie,onbekend
