filename,theme,period
FO-00-00080,geboorte,00s
FO-10-00083,geboorte,10s
FO-50-00390,geboorte,50s
FO-60-00173,geboorte,60s
FO-60-00665,geboorte,60s
FO-60-00927,geboorte,60s
FO-70-00030,geboorte,70s
FO-70-00149,geboorte,70s
FO-70-00193,geboorte,70s
FO-80-00017,geboorte,80s
FO-20-00235,huwelijk,20s
FO-30-00234,huwelijk,30s
FO-40-00462,huwelijk,40s
FO-50-00501,huwelijk,50s
FO-60-00170,huwelijk,60s
FO-60-00374,huwelijk,60s
FO-70-00100,huwelijk,70s
FO-80-00129,huwelijk,80s
FO-90-00183,huwelijk,90s
2012-030-002,huwelijk,onbekend
FO-40-00726,sint,40s
FO-50-00752,sint,50s
FO-50-00753,sint,50s
FO-50-00763,sint,50s
FO-50-00764,sint,50s
FO-50-00765,sint,50s
FO-50-00766,sint,50s
FO-50-00767,sint,50s
FO-50-00768,sint,50s
FO-50-00042,sint,50s
FO-30-00231,speelgoed,30s
FO-40-00549,speelgoed,40s
FO-40-00658,speelgoed,40s
FO-50-00381,speelgoed,50s
FO-50-00628,speelgoed,50s
FO-60-00265,speelgoed,60s
FO-70-00153,speelgoed,70s
FO-70-00202,speelgoed,70s
FO-80-00080,speelgoed,80s
FO-80-00158,speelgoed,80s
FO-20-00298,vakantie,20s
FO-30-00144,vakantie,30s
FO-50-00245,vakantie,50s
DIA-60-00061,vakantie,60s
DIA-70-00086,vakantie,70s
DIA-70-00152,vakantie,70s
FO-80-00225,vakantie,80s
FO-80-00412,vakantie,80s
DIA-0001-0201,vakantie,onbekend
DIA-0003-0020,vakantie,onbekend
