filename,period,theme
FO-00-00036,00s,geboorte
FO-00-00079,00s,geboorte
FO-00-00034,00s,huwelijk
FO-00-00075,00s,speelgoed
FO-10-00080,10s,geboorte
FO-10-00095,10s,geboorte
FO-10-00185,10s,geboorte
FO-10-00081,10s,geboorte
FO-10-00083,10s,geboorte
FO-10-00074,10s,huwelijk
FO-10-00089,10s,huwelijk
FO-10-00041,10s,speelgoed
FO-20-00033,20s,geboorte
FO-20-00400,20s,geboorte
FO-20-00083,20s,huwelijk
FO-20-00197,20s,huwelijk
FO-20-00236,20s,huwelijk
FO-20-00241,20s,huwelijk
FO-20-00245,20s,huwelijk
FO-20-00289,20s,huwelijk
FO-20-00292,20s,huwelijk
FO-20-00065,20s,speelgoed
FO-20-00411,20s,speelgoed
FO-20-00108,20s,vakantie
FO-20-00299_a3,20s,vakantie
FO-20-00301,20s,vakantie
FO-20-00307,20s,vakantie
FO-20-00344,20s,vakantie
FO-30-00771,30s,geboorte
FO-30-00080,30s,huwelijk
FO-30-00212,30s,huwelijk
FO-30-00430,30s,huwelijk
FO-30-00457,30s,huwelijk
FO-30-00481,30s,huwelijk
FO-30-00494,30s,huwelijk
FO-30-00532,30s,huwelijk
FO-30-00678,30s,huwelijk
FO-30-00680,30s,huwelijk
FO-30-00703,30s,huwelijk
FO-30-00013,30s,speelgoed
FO-30-00217,30s,speelgoed
FO-30-00232,30s,speelgoed
FO-30-00591,30s,speelgoed
FO-30-00726,30s,speelgoed
FO-30-00131,30s,vakantie
FO-30-00203,30s,vakantie
FO-30-00164,30s,vakantie
FO-30-00130_a3,30s,vakantie
FO-30-00306,30s,vakantie
FO-30-00241,30s,vakantie
FO-30-00319_a3,30s,vakantie
FO-30-00335,30s,vakantie
FO-30-00342,30s,vakantie
FO-30-00388,30s,vakantie
FO-30-00516,30s,vakantie
FO-40-00308,40s,geboorte
FO-40-00882,40s,geboorte
FO-40-00607,40s,geboorte
FO-40-00196,40s,huwelijk
FO-40-00460,40s,huwelijk
FO-40-00496,40s,huwelijk
FO-40-00529,40s,huwelijk
FO-40-00531,40s,huwelijk
FO-40-00610,40s,huwelijk
FO-40-00613,40s,huwelijk
FO-40-00650,40s,huwelijk
FO-40-00675,40s,huwelijk
FO-40-00679,40s,huwelijk
FO-40-00681,40s,huwelijk
FO-40-00699,40s,huwelijk
FO-40-00713,40s,huwelijk
FO-40-00276,40s,sint
FO-40-00654,40s,sint
FO-40-00726,40s,sint
FO-40-00729,40s,sint
FO-40-00739,40s,sint
FO-40-00761,40s,sint
FO-40-00787,40s,sint
FO-40-00071,40s,speelgoed
FO-40-00285,40s,speelgoed
FO-40-00658,40s,speelgoed
FO-40-00659,40s,speelgoed
FO-40-00776,40s,speelgoed
FO-40-00801,40s,speelgoed
FO-40-00803,40s,speelgoed
FO-50-00144,50s,geboorte
FO-50-01945,50s,geboorte
FO-50-01948,50s,geboorte
FO-50-00155,50s,huwelijk
FO-50-01338,50s,huwelijk
FO-50-01467,50s,huwelijk
FO-50-01621,50s,huwelijk
FO-50-01625,50s,huwelijk
FO-50-01309,50s,huwelijk
FO-50-01629,50s,huwelijk
FO-50-01653,50s,huwelijk
FO-50-01678,50s,huwelijk
FO-50-01737,50s,huwelijk
FO-50-01751,50s,huwelijk
FO-50-01753,50s,huwelijk
FO-50-00398,50s,sint
FO-50-00357,50s,sint
FO-50-00613,50s,sint
FO-50-00765,50s,sint
FO-50-00884,50s,sint
FO-50-01446,50s,sint
FO-50-01773,50s,sint
FO-50-01782,50s,sint
FO-50-01819,50s,sint
FO-50-01831,50s,sint
FO-50-00616,50s,speelgoed
FO-50-01862,50s,speelgoed
FO-50-00245,50s,vakantie
FO-50-00591,50s,vakantie
FO-50-00968_a3,50s,vakantie
FO-60-00083,60s,geboorte
FO-60-01055,60s,geboorte
FO-60-01221,60s,geboorte
FO-60-00175,60s,geboorte
FO-60-01062,60s,huwelijk
FO-60-01101,60s,huwelijk
FO-60-01122,60s,huwelijk
FO-60-01204,60s,huwelijk
FO-60-01306,60s,huwelijk
FO-60-01387,60s,huwelijk
FO-60-01418,60s,huwelijk
FO-60-01433,60s,huwelijk
FO-60-01442,60s,huwelijk
FO-60-01010,60s,huwelijk
FO-60-01452,60s,huwelijk
FO-60-01462,60s,huwelijk
FO-60-01474,60s,huwelijk
FO-60-01485,60s,huwelijk
FO-60-01504,60s,huwelijk
FO-60-01527,60s,huwelijk
FO-60-01537,60s,huwelijk
FO-60-01547,60s,huwelijk
FO-60-01570,60s,huwelijk
FO-60-01586,60s,huwelijk
FO-60-01599,60s,huwelijk
FO-60-00669,60s,speelgoed
DIA-60-00059,60s,vakantie
FO-60-00602,60s,vakantie
DIA-60-00153,60s,vakantie
FO-60-00750,60s,vakantie
DIA-70-00107,70s,geboorte
DIA-70-00111,70s,geboorte
FO-70-00956,70s,geboorte
